lemma;ipm;r;d;doc;dicts
исследовать;38.6;99;81;1745;5
казаться;448.2;100;97;7586;5
касаться;154.7;100;96;6473;6
кататься;23.1;98;88;932;5
кашлять;7.6;88;91;427;5
класть;35;100;94;1410;6
кончать;22.6;100;94;1013;5
кормить;52;100;93;1806;5
кричать;147.3;100;91;2642;5
курить;65.5;99;93;1631;6
лежать;318.1;100;94;5232;6
лечь;63.5;100;94;2020;5
лить;10.4;97;93;568;5
ловить;48;99;94;1711;6
ложиться;39.5;100;95;1573;7
ломать;28.2;100;95;1312;6
любить;503.1;100;95;6888;7
любоваться;19.6;98;95;946;6
махать;22.2;96;91;937;5
менять;74.9;100;97;3382;5
мерить;5.7;93;89;329;5
мечтать;72.4;100;96;2582;6
мешать1;100.4;100;97;3455;6
мешать2;100.4;100;97;3455;6
мочь;2912.3;100;98;25413;5
мыть;28.8;98;93;1169;5
мыться;8.3;94;92;440;5
наблюдать;95.5;100;96;3236;5
навещать;10.1;94;93;512;5
награждать;3.9;94;92;280;5
надевать;22.5;99;95;1102;5
надеяться;137.1;100;96;4734;6
надоедать;4.9;92;92;341;5
назначать;14.2;100;92;880;5
назначить;79.3;100;94;2895;5
называть;293.4;100;96;8780;6
называться;135.3;100;97;4706;5
наказывать;9.5;99;95;601;5
накрывать;6.5;93;93;433;6
нападать;11.2;99;94;596;5
напасть;15.5;99;93;723;5
напоминать;106.2;100;97;3924;6
направить;109.9;100;92;4864;5
направлять;23.7;100;92;1415;5
нарушать;29.5;100;96;1653;6
наступать1;44;100;97;2041;5
наступать2;44;100;97;2041;5
находить;89.5;100;96;3491;6
начать;473.3;100;97;10696;5
начаться;197.4;100;96;6666;5
начинать;296;100;98;8243;6
начинаться;115.1;100;96;4378;5
ненавидеть;44.1;98;94;1440;5
нести;120.6;100;96;4124;5
носить;115.3;100;98;4158;6
нравиться;160.6;100;94;3676;7
нуждаться;49.5;100;96;2580;5
обеспечивать;87.5;100;88;4051;5
обещать;107.2;100;96;3724;5
обидеть;30.4;99;94;1276;5
обидеться;32.3;96;92;1197;5
обижать;13.5;95;94;710;5
обижаться;23.2;96;93;986;5
обманывать;16.5;99;94;840;5
обнимать;20.2;94;91;795;5
образовать;21.4;100;89;1169;5
обратить;88.3;100;97;3634;5
обратиться;108.6;100;96;4326;5
обращать;56.6;100;97;2490;5
обращаться;98.6;100;96;4012;5
обсуждать;52.8;100;95;2485;5
объединять;23.1;99;92;1495;6
объявить;99;100;96;3989;5
объявлять;20.4;100;95;1143;7
объяснять;92.1;100;97;3442;6
овладевать;5;97;94;351;5
одалживать;1.4;68;89;105;5
одевать;5.9;94;89;399;5
одеваться;20;99;94;958;5
одеть;33.9;100;94;1351;5
одеться;14.8;96;92;729;5
оканчивать;1.1;51;85;86;5
окончить;36.4;100;93;1630;5
окружать;32.2;100;94;1562;5
окружить;33.1;99;95;1370;5
опаздывать;13;95;93;663;5
опоздать;22.6;99;94;1013;5
определять;95.7;100;88;4260;5
опускать;18.3;100;94;954;6
опустить;59.9;99;92;1615;5
организовать;65.1;100;93;3417;6
освобождать;13.1;99;94;808;5
освобождаться;9.3;98;87;615;5
осматривать;12.5;99;93;635;5
основать;51;100;90;2714;6
основывать;1.4;52;86;105;5
оставлять;81.4;100;97;3352;6
останавливать;16.6;100;95;960;5
останавливаться;44.4;100;95;1766;6
остановиться;147;100;93;3158;5
осуществлять;72.2;99;81;3094;5
ответить;370.4;100;94;5662;5
отвечать;232.4;100;97;6607;6
отдавать;70.3;100;96;3015;6
отдыхать;42.9;100;96;1764;5
отказываться;51.2;100;97;2515;6
открывать;85.7;100;97;3344;7
открыть;214.8;100;96;5628;5
отличаться;98.9;100;93;4586;6
отнести;43.1;100;93;2247;5
отнимать;11.7;99;95;755;6
относить;15.6;100;92;995;5
отнять;25.1;99;94;1168;5
отправлять;22.7;100;96;1220;6
отпускать;25.3;100;95;1160;6
отражать;41.1;100;88;2122;5
отставать;18.8;99;96;1157;5
отстать;19.8;100;94;968;5
охранять;25.2;100;94;1212;5
ошибаться;25.8;100;95;1127;6
пахнуть;67.2;99;92;1694;5
перевести;66.4;100;97;2502;5
переводить;32;99;96;1379;5
передавать;49.3;100;96;2341;6
передать;123.5;100;96;4042;5
переезжать;7.5;96;93;479;5
переносить;22.1;100;96;1300;5
переписывать;5.8;97;94;369;5
переходить;52.6;100;96;2481;6
петь;143.2;100;94;2802;5
печатать;24.6;100;93;960;6
писать;444.3;100;96;6914;5
пить;200.9;100;93;3381;6
плавать;33.1;100;93;1209;5
плакать;103.9;99;92;2216;6
платить;96.9;100;95;3722;5
победить;52.9;100;95;2413;5
побеждать;16.2;98;93;974;5
повернуться;69.3;98;90;1439;5
повторять;79.9;100;96;2615;5
погасить;13.5;100;95;802;5
погибать;14.7;100;95;855;6
подавать;49;100;96;2073;5
подать;79.4;100;95;2745;5
подготовить;69.1;100;93;3654;6
поддерживать;75.9;100;95;3771;5
поднимать;56.9;100;95;2106;5
подниматься;75.9;100;94;2257;5
подняться;136.2;100;92;2588;5
подождать;56.6;100;91;1621;5
подписывать;15.5;100;94;814;6
подтверждать;39.2;100;92;2210;5
подходить;116.9;100;96;3795;6
поесть;18.3;97;92;887;5
поздравлять;27.9;95;90;1178;5
познакомиться;67.2;100;96;2298;5
показать;277.7;100;96;8111;5
показывать;155;100;97;5560;6
покупать;74.5;100;94;3034;6
положить;158.1;100;95;3871;6
получать;188.2;100;95;7470;7
пользоваться;120.1;100;95;4827;6
помнить;363.1;100;96;5704;5
помогать;134.5;100;96;4613;6
помочь;218.8;100;96;6162;5
понимать;559.7;100;96;8240;6
понять;588.2;100;95;7880;6
портить;15.9;99;95;906;5
посвящать;7.9;99;94;528;5
посещать;27.1;100;95;1412;7
послать;73.3;100;95;2039;5
поступать;72.1;100;96;3404;6
посылать;35.1;100;95;1440;7
праздновать;12.1;100;93;752;5
превращать;17.7;100;96;1054;5
превращаться;42.7;100;95;2118;5
предложить;201.2;100;97;6811;6
представить;247.2;100;95;8529;6
представлять;228.5;100;95;8016;6
предупреждать;29.4;100;96;1437;5
прекращать;8.6;99;92;582;6
прибавлять;6.9;97;94;429;5
прибывать;10.4;99;92;589;5
привести;214.7;100;94;7716;5
приветствовать;25;100;94;1289;6
приводить;97.8;100;91;4253;5
привыкать;15.3;98;95;881;5
привыкнуть;85.9;100;96;2818;5
пригласить;98.2;100;95;2909;5
приглашать;47.5;100;95;2000;6
приготовить;38.5;100;95;1572;7
приготовиться;11.4;94;92;599;5
придумывать;18.7;98;95;971;6
приезжать;86.8;100;94;2678;5
приехать;234.4;100;95;4587;5
признавать;46.4;100;96;2229;5
признаваться;39.7;100;92;1837;5
признать;88.9;100;94;4156;5
признаться;55.1;100;94;1964;5
прийти;523.3;100;96;9359;5
приказывать;10.7;97;92;508;6
принадлежать;113.5;100;95;4410;5
принести;141.9;100;96;4153;5
принимать;207.7;100;96;7397;6
приносить;64.9;100;97;2863;6
принять;386.9;100;95;11757;5
прислать;46.3;100;95;1634;5
присылать;10.3;100;93;637;6
приходить;218.2;100;96;5596;6
пробовать;35.7;99;93;1454;5
проверять;42.9;100;96;1858;6
проводить;167.6;100;95;6915;6
провожать;30;98;93;1090;7
продавать;56.3;100;95;2645;6
продать;68.3;100;96;2744;5
продолжать;240.6;100;97;6302;5
проезжать;12;98;94;653;5
проехать;23.3;98;94;1102;5
проиграть;30.1;99;92;1362;5
проигрывать;12.2;99;93;742;5
производить;66.5;100;94;3238;5
произносить;40.8;99;94;1457;5
пропускать;22.4;100;96;1184;5
просить;215.9;100;96;4474;6
простить;101.1;100;93;2270;6
проститься;11.2;93;93;540;5
прощать;30.3;97;94;1113;6
прощаться;25.8;96;94;1025;5
проявлять;34.8;100;95;1802;6
прятать;26.9;98;93;1120;6
пускать;35.5;99;95;1521;5
работать;611.2;100;96;13409;5
разбивать;6.5;98;95;466;5
разбить;36.7;100;96;1699;6
развивать;33.1;100;92;1897;6
развить;14;100;93;913;5
разговаривать;95.4;100;94;2375;6
разрешать;22.2;99;96;1166;5
разрушать;15.3;100;94;935;5
ранить;26.8;98;93;990;5
распределять;6.1;96;92;444;5
рассказывать;230;100;96;5391;7
расставаться;18.5;99;95;974;5
решать;96.5;100;96;4584;7
решить;409.7;100;97;10694;5
рисовать;37.5;99;94;1388;5
родиться;116.7;100;94;3804;5
ругать;23.2;96;95;957;5
руководить;38.2;100;94;1817;6
садиться;77.9;100;93;2136;5
сажать;21.3;99;95;1065;5
светить;21.1;98;93;1001;5
сдавать;34.4;100;93;1603;5
сдать;53.6;100;94;2132;5
сделать;743.5;100;97;14748;6
сердиться;22;94;91;744;5
сесть;175.9;100;93;3211;5
сидеть;538.1;100;94;5916;6
сказать;2396.6;100;94;15426;6
скрывать;49.3;100;96;1990;5
скрываться;23.4;100;96;1208;5
скучать;19.4;98;93;871;5
следить;75.8;100;96;2716;5
сломаться;10.8;98;94;650;5
служить;140.3;100;96;4839;5
случаться;55.5;100;96;2264;5
слушать;239.5;100;94;3830;7
слышать;256.1;100;94;4462;7
смеяться;117.9;99;92;2388;6
смотреть;667.2;100;96;9118;6
снимать;98.5;100;94;3010;5
советовать;32.5;100;95;1534;5
согласиться;144.2;100;96;4160;5
соглашаться;31.3;100;96;1464;7
соединять;16.6;99;92;912;5
сойти;55.4;100;94;1967;5
сообщать;50.3;100;96;2400;5
сообщить;143.8;100;95;5001;5
сопровождать;35.8;100;96;1599;5
соревноваться;6.1;92;91;426;6
составлять;175;100;91;7477;5
состоять;139.9;100;92;5480;6
спасти;80.1;100;95;2693;5
спать;221.9;100;92;3167;5
спорить;53.1;100;96;1926;5
спрашивать;208.3;100;94;3810;7
спускаться;34.3;100;93;1216;5
сравнивать;24.5;99;96;1412;6
сравнить;31.7;100;89;1550;5
ссориться;10.9;98;94;609;5
ставить;138.7;100;97;4950;6
становиться;259.3;100;97;7869;5
стараться;172.8;100;96;4402;5
стирать;13.8;98;93;716;5
стоять;419.3;100;93;5109;5
стремиться;85.1;100;95;3639;5
строить;82.2;100;96;3401;5
судить;116.8;100;95;4355;6
сходить;54.2;100;92;2032;5
танцевать;41.7;97;93;1166;6
терять;74;100;97;3010;5
течь;33.7;100;94;1370;5
торопиться;52.6;98;93;1731;5
тратить;33.3;100;96;1759;5
трудиться;30.8;100;95;1637;5
тянуть;68.5;98;94;2104;5
убеждать;22.3;100;96;1175;5
убеждаться;7.4;99;94;450;5
убивать;49.8;100;94;1647;6
убирать;20;100;95;1073;5
убить;144.7;100;93;2795;5
уважать;42.2;100;96;1766;5
увеличивать;19.3;100;92;1363;5
угощать;11.3;91;94;587;5
ударить;63.3;99;92;1694;5
удивиться;84.3;100;91;1806;5
уезжать;50.7;99;94;1607;5
узнавать;88.2;100;96;2684;5
узнать;238.1;100;96;4926;5
указывать;54;100;92;2389;5
укреплять;11.7;99;93;818;5
улыбаться;111.3;98;92;2090;5
умереть;179.7;100;95;3620;5
уметь;172.5;100;96;4360;5
умирать;62;99;94;2005;5
умываться;5.6;82;89;291;5
уничтожать;16;100;95;888;6
упасть;106;100;94;2881;5
употреблять;22;100;93;1158;6
управлять;38.9;100;95;2114;5
успевать;32.2;100;96;1519;5
утверждать;97.3;100;95;4381;5
уходить;192.7;100;95;4652;5
учить;76.7;100;96;2610;7
учиться;126.9;100;95;3791;6
фотографировать;5.6;94;92;359;5
хвалить;16.6;97;94;728;6
ходить;296.6;100;94;5439;5
хотеть;991.3;100;95;12290;6
хранить;42.1;100;96;1945;6
целовать;40.7;95;89;1006;5
чинить;8;95;94;499;5
чистить;17;98;94;840;6
читать;304.4;100;96;5215;6
чувствовать;246.9;100;95;4762;5
явиться;79.8;100;96;2659;5
являться;522.9;100;89;12749;5
беспокоить;21.7;100;96;1103;4
бить;107.5;100;94;2640;4
биться;33.4;100;94;1369;4
браться;33.3;100;97;1780;4
бросить;166.5;100;93;3369;4
бывать;297.3;100;96;6512;4
ввести;68.6;100;94;3428;2
вводить;27.1;100;91;1554;3
велеть;49.8;100;92;1303;4
вестись;43.1;100;93;2581;0
взглянуть;72.4;100;92;1741;3
взять;525.8;100;95;9275;4
взяться;68.6;100;95;2494;4
видеться;33;100;96;1371;3
вкладывать;18.4;100;94;1204;1
включать;75.4;100;89;3814;4
включить;70.1;100;97;3181;3
включиться;9;100;95;604;1
влечь;23.3;100;64;955;1
влиять;39.4;100;90;2245;4
вложить;27.7;100;96;1639;1
вносить;27.8;100;92;1717;4
внушать;15;100;95;799;2
возглавлять;33;100;92;1949;3
возникать;138.4;100;92;5125;4
возникнуть;133.6;100;96;4853;3
возрастать;24;100;89;1565;1
войти;205.5;100;96;5227;4
воспользоваться;40.3;100;96;2165;2
воспринимать;43.4;100;94;1970;0
восприниматься;24.1;100;92;1345;0
воспринять;24.4;100;93;1326;0
восстанавливать;12.8;100;95;847;4
вспомнить;215.5;100;95;4696;4
вставить;23.5;100;94;984;4
вступить;53.1;100;95;2569;4
выбрасывать;14.4;100;96;845;4
вывозить;8.3;100;94;552;2
выглядеть;141.7;100;97;4929;2
выдаваться;13.4;100;89;840;1
выдать;60.4;100;95;2407;4
выдвигать;12.1;100;93;778;1
выдвинуть;24.1;100;94;1320;1
выделить;76.4;100;88;3628;1
выделять;29.2;100;89;1686;2
выделяться;30.2;100;92;1680;2
вызвать;154.9;100;97;5405;4
выложить;17.6;100;95;893;0
вынести;51.3;100;96;2278;4
вынудить;38.3;100;95;2216;1
выпадать;12.4;100;96;801;2
выпасть;29.4;100;95;1373;2
выписать;17.2;100;95;853;4
выполнить;91.7;100;94;4412;4
выпустить;63.4;100;96;2774;4
выражать;40;100;95;1842;4
выражаться;30.4;100;95;1537;3
выразить;57.7;100;94;2715;4
выразиться;20.1;100;96;1088;2
вырастить;13.5;100;94;839;3
вырваться;31.8;100;93;1231;0
выручить;11.7;100;95;690;2
высказать;39.6;100;96;2062;1
выставить;35.5;100;96;1731;0
выставлять;12.3;100;95;826;0
выстроить;18.8;100;95;1159;0
выступить;67.2;100;94;3129;4
вытекать;20.3;100;89;1107;1
выяснить;44.6;100;96;2155;3
выясниться;57.2;100;95;2625;1
выясняться;10.4;100;94;723;2
говориться;77.3;100;95;3331;2
даваться;30.3;100;95;1675;1
давить;24.6;100;94;1091;3
действовать;153.5;100;95;6101;4
делаться;74.7;100;95;3060;3
демонстрировать;34.3;100;95;2015;1
диктовать;14.8;100;95;899;2
длиться;30.1;100;96;1538;1
добавить;115.5;100;96;3608;4
добиться;69.5;100;95;3456;4
добраться;49.6;100;94;1719;2
доверить;12.4;100;95;827;4
довести;39.4;100;96;2043;3
довестись;17.6;100;92;828;0
доводить;13.3;100;96;846;4
дождаться;41.6;100;94;1612;4
дожить;18.2;100;95;935;0
дойти;88.6;100;96;2957;4
доказать;65;100;96;2855;3
доказывать;32.9;100;96;1682;4
допускать;35.1;100;95;1835;3
допустить;73;100;97;3182;3
доставить;37;100;96;1624;3
доставлять;20.4;100;95;1097;4
достаться;40.5;100;96;1950;2
достигнуть;97.4;100;95;4590;2
доходить;30.4;100;95;1565;4
есть;94.7;100;93;2415;4
забрать;47.9;100;94;1647;2
забыть;226;100;95;4910;4
завершать;10.5;100;94;780;2
завершиться;18.8;100;92;1342;1
завоевать;17.4;100;93;1069;4
задержать;33.9;100;93;1435;3
задумать;25.2;100;96;1263;2
задуматься;49.6;100;94;1951;4
задумываться;28.8;100;96;1530;4
заинтересовать;31.8;100;95;2003;3
заканчиваться;28.1;100;94;1663;4
заключаться;65.4;100;93;3268;2
закончиться;57.7;100;95;2769;4
закрепить;24.5;100;92;1510;1
закрываться;12.8;100;96;828;2
заложить;45;100;95;2362;0
заменить;47.6;100;96;2509;4
занести;18.9;100;95;968;1
заняться;52.7;100;96;2517;4
заполнить;30.9;100;96;1583;3
заполнять;17.1;100;96;1008;4
запоминаться;6.3;100;94;421;2
запретить;56.1;100;96;2418;3
зарабатывать;30.5;100;95;1526;4
заработать1;42.7;100;95;2114;3
заработать2;42.7;100;95;2114;3
заразить;11.4;100;86;579;2
зарегистрировать;31.2;100;87;1570;1
заслужить;30.8;100;96;1628;3
заставить1;92.1;100;96;3282;4
заставить2;92.1;100;96;3282;4
затянуться;17.7;100;95;980;0
звучать;84.1;100;96;3069;3
здравствовать;49.3;100;90;1446;2
избавиться;27;100;96;1442;1
избежать;32.5;100;95;1991;2
избрать;41.6;100;93;1993;2
изготовить;23;100;92;1341;0
издавать;17.6;100;95;969;3
изложить;30.1;100;93;1562;2
изменить1;79.9;100;96;3794;4
изменить2;79.9;100;96;3794;4
измениться;84.5;100;97;3734;3
изображать;34.2;100;96;1325;4
изучить;35.3;100;90;1868;4
именовать;18.5;100;94;1006;0
иметься;128.4;100;93;5148;1
исполниться;20.1;100;94;1156;2
испортить;22.2;100;95;1136;3
исправить;18.5;100;96;1103;4
испытать;36.5;100;96;1577;3
испытывать;76.6;100;96;2885;4
исходить;69;100;93;3335;2
исчезать;41.4;100;96;1756;3
исчезнуть;99.9;100;94;2662;3
исчерпать;11.3;100;95;794;1
контролировать;38.2;100;92;2286;4
коснуться;27.8;100;95;1364;4
купить;192.7;100;94;5092;4
лечить;30.6;100;94;1227;4
лишать;14.8;100;96;939;3
лишить;50.9;100;97;2317;2
лишиться;18.7;100;95;1208;2
меняться;66;100;96;3193;3
миновать;28;100;94;1191;0
молчать;144.5;100;91;2343;4
набирать;27.3;100;96;1442;4
наблюдаться;43.2;100;83;2108;1
набрать;43.7;100;95;1845;4
навести;18.1;100;96;1048;1
наводить;14.9;100;95;937;1
навязать;8.2;100;94;560;2
надеть;52.1;100;94;1706;4
назвать;205.1;100;96;7109;4
найти;424.1;100;97;9693;3
накладывать;8.4;100;95;570;0
накопить;20.4;100;94;1346;1
накопиться;11.2;100;95;742;0
наладить;20.5;100;95;1276;2
наложить;16.4;100;95;956;0
наметить;25.6;100;94;1581;2
нанести;38.5;100;95;1904;2
наносить;22;100;91;1206;2
напечатать;35.5;100;92;1224;4
написать;336.2;100;96;6048;4
напомнить;65.2;100;96;3164;4
нарастать;17.8;100;96;995;0
нарисовать;33.9;100;91;1235;4
нарушить;35.9;100;96;1805;4
настаивать;37.2;100;96;1832;3
настать;22.4;100;95;1199;1
настроить;20.4;100;94;1296;1
наступить1;67.1;100;96;2577;4
наступить2;67.1;100;96;2577;4
научить;35.8;100;96;1658;4
находиться;342.7;100;95;10424;4
нацелить;10.3;100;94;702;1
обвинять;22.3;100;94;1209;4
оберегать;9;100;95;583;1
обеспечить;86.4;100;92;4593;4
обладать;105.2;100;92;4511;3
обнаружить;125;100;95;4305;1
обнаружиться;16.8;100;96;942;1
обозначать;16.7;100;89;876;4
обозначить;30.1;100;90;1649;2
обойти;30.4;100;96;1535;3
обойтись;61.6;100;96;2992;1
образоваться;42.1;100;91;1980;2
обслуживать;16.7;100;94;1082;2
обсудить;27.5;100;90;1504;4
обсуждаться;26.6;100;92;1692;0
обучать;13.6;100;91;763;3
обходить;17.8;100;95;972;4
обходиться;22.4;100;95;1482;1
общаться;44.5;100;93;1884;2
объединить;43.2;100;92;2363;4
объяснить;161.4;100;96;4364;4
объясняться;32.4;100;93;1937;3
обязать;33;100;90;1683;1
обязывать;10;100;94;711;1
ограничивать;15.1;100;91;1055;3
ограничить;26.9;100;91;1771;2
одобрить;25.4;100;93;1484;2
ожидать;123;100;97;4243;4
означать;97;100;95;4149;3
оказаться;531.9;100;97;11735;3
оказывать;48.2;100;91;2658;3
оказываться;155.1;100;97;5218;4
описать;64.4;100;91;2583;3
описывать;41.5;100;91;1722;4
оправдать;24.6;100;96;1440;3
оправдывать;14.1;100;96;869;3
определить;120.6;100;93;5336;4
определиться;14.3;100;94;1002;0
определяться;61.5;100;83;2669;0
опубликовать;58;100;92;2646;3
опускаться;18.5;100;95;991;4
организовывать;20.3;100;90;1205;3
освободить;43.5;100;95;1850;4
ослабить;12.1;100;95;769;2
осмотреть;21.9;100;93;921;4
осознавать;20.3;100;95;1168;1
осознать;25.4;100;96;1314;1
оставаться;327.4;100;98;9585;4
оставить;210.5;100;96;5392;4
остановить;70.2;100;95;2466;4
остаться;482.7;100;97;10602;4
осуществить;36.7;100;92;2066;4
отбросить;18.4;100;94;935;1
отвести;40.6;100;95;1708;3
отвлекать;11.2;100;95;696;2
отдать;139.8;100;96;4162;4
отделять;14.9;100;93;831;4
отдохнуть;33.7;100;94;1467;4
отказать;32.3;100;96;1574;2
отказаться;115.8;100;96;4462;4
отказывать;13.3;100;95;837;4
открываться;40.4;100;96;1962;3
открыться;63;100;96;2542;4
отличать;17.7;100;94;1139;3
отложить;26.1;100;96;1355;3
отменить;32.6;100;94;1737;2
отметить;154.3;100;92;6713;4
отмечать;56;100;93;2905;4
отнестись;21.2;100;95;1166;4
относиться;191.6;100;94;6746;4
отобрать;28.8;100;96;1434;2
отозваться;36.7;100;91;1038;3
отойти;55.9;100;94;1939;2
отпасть;6.9;100;93;470;0
отправить;69.3;100;96;2494;4
отправиться;78.2;100;95;2485;3
отправляться;29.6;100;96;1495;4
отпустить;57.6;100;94;1814;4
отработать;15.2;100;95;995;0
отражаться;19.4;100;95;1131;2
отразиться;14.4;100;95;941;2
отрезать;27.3;100;94;1147;4
отрицать;21.2;100;95;1131;3
отстаивать;15.7;100;93;998;1
отстоять;10.4;100;95;719;1
отсутствовать;45.9;100;90;2521;3
отходить;22.8;100;95;1071;4
отыскать;24.2;100;94;1024;1
оформить;28.1;100;95;1600;3
оценивать;36.4;100;93;2224;3
оценить;64;100;95;3322;1
очистить;20.3;100;91;1060;3
очищать;9.4;100;92;553;1
ошибиться;31;100;95;1293;4
ощутить;35.9;100;93;1291;1
ощущать;55.9;100;95;1889;1
падать;84.2;100;95;2640;4
пасть;19.9;100;95;973;0
передаваться;20.1;100;92;1223;1
